Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,2679.493439,2828.033102,3247.872047,3942.542233,5330.860529,5785.338849,6194.481906,6330.433799,6734.433524,7437.880806,8181.489931,9698.245259,10228.21933,9345.6434,10046.73746,9101.522718,9038.727046,9233.430171,11436.00412,14135.57704,14167.81666,14638.87156,14467.27446,13953.71791,14420.89109,16014.19094,17313.10952,18598.3916,16957.81078,16347.027,17046.13093,15465.41185,16023.74726,18803.6344,24330.86398,26553.40319,27889.94889,31281.576,37842.58147,33330.76938,40364.97456,48352.99381,53384.58624,53737.14874,48683.55094,44412.79223,39031.78299,42080.55053,44159.87665,42360.80123,39262.15741,
Austria,1759.625085,2032.948552,2495.671448,3328.331231,3955.93331,4498.290234,4849.341785,5792.83317,6949.159283,8302.717206,9164.269859,7856.423696,7891.143082,8034.663039,7565.028477,7732.927777,11000.25348,13771.32023,14865.56378,14781.08239,18387.54659,18875.00662,20982.32809,20241.96831,21531.27866,25388.20514,25026.71288,22284.33105,22789.80218,22348.62455,20341.03385,20125.46938,21816.07437,26658.34015,30555.30508,31845.27208,33960.50729,39103.43946,43461.31897,39492.89768,38980.73266,42556.70224,39976.49259,41680.08822,42411.3736,35797.3092,37170.47025,38344.43959,41653.4774,40727.17426,38816.74846,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.7457777,435.5692393,391.5709534,462.9940645,574.71473,675.1138816,763.3688557,956.9155983,1374.471956,2072.845294,3169.077596,3331.148937,3870.32198,4682.271142,5190.102421,5591.728908,6039.289026,4460.663277,3018.599527,3198.105743,3372.911412,3612.673989,3483.922798,
Burundi,,,,,,,,,,,169.1958738,175.9312907,169.6990924,186.0519153,162.7961685,185.9743683,182.0448616,162.0822395,149.7609093,149.9616308,144.323247,148.6807212,131.9364148,111.5263068,103.5907444,98.16347347,76.43360163,93.1965491,81.45973919,86.95946794,95.8285939,85.49231601,71.62205531,47.19988834,65.06510879,83.93078894,101.3276411,90.52493425,104.0040053,115.8080883,144.7010583,151.637162,173.094217,179.9613464,192.8349623,219.1941522,179.5156706,172.6900745,174.9999245,165.7095141,173.5682741,
Belgium,2400.100323,2678.585001,3333.239957,4282.173655,4995.985632,5843.266996,6355.609543,7320.977804,8927.51745,10177.83006,10829.46133,8874.24148,7759.729964,7344.165043,7082.082865,7366.500326,10294.43066,12881.29862,14020.2072,14090.55405,17593.2691,18007.00565,19961.53767,19213.20051,21096.6095,24603.3592,23714.32059,21429.03376,21830.11838,21647.27607,19799.7837,19523.16543,21080.35653,25818.22903,29717.32376,30798.02149,32301.29367,36925.58341,40244.71493,36720.42768,36300.58447,38233.70098,36963.53724,38769.59344,39495.14831,33791.19583,34508.84203,36258.43556,39050.11496,38315.74992,36526.52574,
Benin,,99.88966885,120.7247054,142.6291599,154.0301981,179.6698691,180.4620934,179.3549377,220.5484013,283.8745876,325.8296963,294.0099459,264.6683012,223.9934256,203.8196033,204.6766426,252.8653927,288.1134044,291.16616,252.4481678,320.6498605,314.5253433,242.2829565,328.1590099,203.6260241,265.0372171,277.705034,263.5040838,280.7440018,436.0130279,409.3053894,424.3572241,481.2504243,601.1713296,678.6388988,704.9973678,733.2057422,829.631325,967.6964401,927.6507301,879.6961525,969.9168856,992.8929027,1102.273897,1144.180146,958.4343404,968.4104657,1003.131662,1095.386477,1073.976751,1133.399847,
Burkina Faso,,,,,,,,,,,267.2714222,239.3279622,229.8497495,203.0765288,180.2075718,186.5141599,238.399476,268.6914887,288.63369,280.9050018,324.3138294,319.29065,332.430848,307.860279,175.3877273,216.1142426,230.3932688,210.7698369,233.6340118,275.1729282,239.2911061,249.2225687,272.6119307,346.3419747,385.3338266,420.2451794,434.739431,491.4484694,586.4287951,557.0508881,556.0450996,622.4136017,651.8266155,680.4966,677.8631519,563.0562226,595.5868675,635.4058718,700.4469742,693.7277719,631.8020814,
Bangladesh,,,,110.0981314,168.2435757,254.3178187,128.8439167,117.417211,158.6622604,183.1566888,208.5914253,231.2200302,205.8380394,193.4444498,202.5868571,230.1926726,219.4426972,239.5328093,254.7612931,268.9848309,287.3347469,275.5268362,276.5407898,284.22708,284.5528764,312.6527923,372.8795731,380.6132953,386.4149822,389.1580981,398.0077241,393.7793715,395.8670957,428.2063341,457.830074,481.1521855,491.519237,543.139617,627.2928345,695.0006499,774.4847509,850.1471962,876.1466477,972.6817314,1091.84391,1217.569062,1360.058498,1493.603065,1626.146191,1916.36905,2031.667502,
Bulgaria,,,,,,,,,,,1887.875845,1897.239795,1842.915694,1583.207517,1681.775954,1635.031134,1929.977881,2664.237011,2091.347514,2030.462502,1831.100224,955.5490625,1029.531775,1079.869443,1001.341452,2062.473836,1321.51287,1231.087885,1600.734794,1439.840515,1373.518768,1546.332518,1857.540282,2371.214262,2944.506921,3322.128953,3733.943555,4613.383404,5973.431493,5759.731281,5619.963317,6408.254413,6242.322438,6421.409709,6642.990206,5819.933979,6238.107192,6971.018762,7755.416718,8187.539054,8419.712232,
Bahrain,,,,,,,,,,,6242.53658,7563.065023,7848.923948,7851.621721,7702.881438,5449.322729,4690.356221,5151.900059,5757.639084,5868.774894,7448.809887,8115.933569,7817.777402,7939.567179,8279.617387,8870.806453,9097.139069,8864.298344,8527.940328,8565.725783,11422.09412,10618.36264,10664.64248,11828.86728,13315.22249,15448.16375,16671.00686,18363.76757,19744.48849,15308.49233,13718.71749,12442.00461,16298.24708,16661.31124,17034.96516,17254.19999,17983.40923,18457.58486,17924.09902,17644.51656,15598.96554,
